ID,label,Comments
0,-1,niyayii shayia
1,-1,jnanane hhhayii suka manii
2,1,maswati lamahle kutsii ngigiye
3,1,yinihle lentfo
4,0,yanivuma bakitsi
5,1,nayiishayia bantfwana kwatsi chokanjenananano
6,1,halala langeni
7,0,nkhosi jesu uyaphila
8,1,siyabonga moya loyigcwele
9,0,awunkosiyami
10,1,niyangibusisa bazalwebami
11,0,ngilungisise jehova
12,0,eyi moyongcwele lungisa kuhamba kwamii
13,0,kuyahlaleka endumisweni yakhe
14,1,awu nkosi yami iyangibusisa lena ngoma
15,1,ngempela uphakame nkulunkulu bakhe abulinganiswa
16,0,yebo nkosi
17,1,kadze kanjenanalo ngiyfuna ngiyibonga nkhosi jesu
18,1,ninjani bazalwane ngiyayiitsandza ngabe ningangisita kutsii emacilongwe intfolakala kuphi
19,0,singasuka kuwe siyephi simakadze
20,1,lengoma iyasibusisa siyabonga
21,-1,eyi eyi jesui uyesabeka
22,-1,iyangbusisa lengoma mze noko iletsa badi memoriesngayidlala ngyofihla umhlobo wamii pastori ti hlophe kandinda kanjenana ya mayii hisi kanjenanauli resti ini peace
23,1,whati kanjenanangi make mthethwasiyabonga nkhosi jesu kubanatsi nekusivekela kuko konkhe lokubiameni
24,0,kholwa ngilo lilalele ulugcine likhulume cabanga ngalo impumelelo yakho ilapho ngulelo licinikanjenana lemphilo umasiligcina lona siyantjintjwa
25,-1,nembala liyinikemba ameni sibusiseke kakhulu
26,0,bambelela dzadzewetfu ngyati akusiko melula
27,1,uyahlabela sisi
28,0,safa bunandzi
29,1,awu nkosi yabonga mine
30,1,kumnandzi khabo jesu
31,1,kunjalo mhlanti wendlukhulu chubeka sisii usibusise
32,1,nkulunkulu loyinigcele nikela konke kuye aphose le elwandle
33,1,wowi phambili sisi uyasho akubusise jehova haleluya uyinicwele
34,1,ahi kunjalo bazalwane bami mayii godi blessi u
35,0,kwasa maswati lamahle emasiko betfu
36,1,eyibazalwane nisibisikanjenana haleluyai
37,1,umusa wakhe usanele kanjenanankhe
38,0,baze bonke basindiswe ameni
39,0,nginengoma yami
40,0,wowi ngiyatsandza kudvumisa kungiletsa dvute namvelinchanti awu come jesui nikuphi buyelani ekucaleni elutsandvweni lwenu lwakristu lwakucala lenanimtsandza ngalo rememberi kunetitukulwane ekhalo lweni lekumele nitibeleke
41,0,unamanidla jesu
42,1,ngibatsandzani laba thanksi
43,0,amene nkhosi sisite silalale wedwa ameni
44,1,nkhosi ngiphe indlebe yekulalela livi lakho kanjenanankhe sikhatsi ngize ngibe nekucondza nice kanjenanangsi bazalwane please addi
45,1,kunjalo ingati ya jesu akanjenanaze yaphelelwa ngemanidla ameni andi ameni
46,1,indlovulenkhulu ngente njalo bangcwele khani ngiyiva lengoma kanjani manije emva kwekucinisela minyaka lelishumi sikanye nemyeni wamii ahleti ekhayia adzinga umsebenti yo wavela lomdzala wetinsuku mayii bri chubekani cinisani bazalwane sitnanlala sincoba
47,0,baphi labazalwane nkhosiyami
48,1,simaswati kanjenanalo siyaphambili saphiwa umculo ningakhnanlwa maswati akitsi phambili nge come jesui phambili
49,1,nga kanjenanamanidla siyancoba kunjalo bazalwane nakuba besingabukeka engathi siyakhona
50,1,ngakanjenanamadla siyancoba khristu usihola njalo eludvwendvweni lwekuncoba blessi
51,1,siyabonga babe umsebenti lowawenta ecalvaryi wentela mine angikhoni kuhlala ngingawubongi lomsebenti lobaluleke kangaka tagezwa netami tono
52,1,ivuselela umoya syabonga kakhulu umculo lomnandzi ngiwlalela ngiphansi embombela
53,-1,wayiishayia mntfwana
54,1,muhle umculo ihlobile iividiyo mntfwanamake
55,0,sewakho vele bri lutsandvo aluboni
56,1,ynani ngiyabona mfe fori kumwisa iwile lentfo licinikanjenana lihle kutsii vele uyadvumisa manije njayiami
57,1,leluhleko
58,-1,nami ngiyi lluminatihhhayii manii lensangu asiyiyekeni mayiisihlula
59,1,nami ngiyi lluminatihhhayii likanjenana siyalitsandza espiki
60,0,yenabakitsi
61,-1,ujwayiele maniyala lomfanangabusnikile samluma kucala
62,0,kingi kanga sicela parti lena ngiyeva lokutsii ayiikapheleli manii sicela ungesabi ukhulume everythingi manii
63,-1,quoti sulumanie lektjeka uva lensangu lapho espikiquoti brbrinsangu alwayisi catchingi strayisi
64,-1,suka la mafikizolo
65,0,ngifuna kanjalo
66,-1,hhhayii uyinija boi
67,1,exe uyabona lengoma ingumlilo
68,1,siyabonga bhuti fori shinningi
69,1,manigilalela lealbumi ngivele ngabuya lahi ayiiclassici lena wasekhayiasesicela ividiyo yeimbita
70,0,plsi bhuti cela ungasuki kule afropopi plsi angumuwinneri wonkhe africamosti ofi themi besebalahla letrendi
71,1,ngiyanivuma bafethu
72,1,muhle umsebenti bhutibrbrkanjenanaphanda tilli lasti breaththanksi fori jami mnaketfu
73,0,natsi siphuma makasi onkhe makasi straighti fromi swazi
74,1,usezingeni lomtfwebulo
75,1,sebenta ndodza muhle kakhulu umsebenti wakho liswati lelingimi litsi liyabonga
76,1,gogo nasi stru ngabe umuntfwu ucamba emaniga makangtsi lona mculo awukho mnandzi siyabonga busta
77,0,ngyaniva lapho blacki diamondi
78,1,kuhle
79,1,hhhayii bafana balomyama ngiyo lentfo ngiyo ngiyo willi come youri studio brokuyaphekwa lapha hhhayii kudlala
80,-1,licatsa lenyama ngilcoba lingshisa khala histo
81,-1,hahyi ngeke niyaloya ynani niyayiishayia lentfo
82,1,takitsi tivutsi umlilo
83,-1,batsi ningakhnanlwa kutsii simabhenjamini hehehehehe
84,-1,lofana uyinigoti lona kepi iti upi boyi
85,0,ngyavuma
86,1,siyatichenya ngawe mntfwana lencane
87,0,angati nekutsii ngitsini yebonine wowi
88,1,kahle kahle uyayiati intfo loyentako
89,-1,asesive yakho hhhayii le lokukhwabanisa le musicholiqi lengoma yakhe mfana
90,1,ngika hlatsi bomnaketfu hhhayii ngiyavuma youngi zeshi yemukela timbali takho usaphila mntfwana wanaka
91,1,iyangbusisa
92,1,ishu thisi isi fa fa fa fire muhle umsebenti bro wamii
93,1,ayii bhuti ngisihlwele sakho lesikhulu ayiikho ingoma yakho lengite yona fuca bhuti utofika la ufisa khona
94,1,ye ntwanencane colela labantfu
95,1,lapha tiyabuya timbecolo mnganami
96,1,timbeqolo mnganami
97,1,yebo inemlayieto impela bekusindvwe ngebeltfole kufinywa nangengcosa
98,1,uyicoca ngelulwimi lwesiswati uligugu kitsi singemaswati uchubeke njalo jaha lakitsi
99,-1,bitalabanye ngyakcosha uyajika
100,1,ngiyabonga mine
101,-1,hhhayii khona
102,0,yinii le
103,1,naboke tjwala
104,1,ingichaza mase itsi quotmasinatsa siyanatsaquoti
105,1,ngiyayiivuma ngiyo
106,-1,ngiboniseni tjwala bami bunatfwe ngubani naboke cabanga lencenye leyo ishiwo ngelivi lelidzakiwe entfweni
107,0,washa
108,-1,sivelelwe phela tjwala banivulele ahiti thisi one
109,0,mntungwa
110,-1,lomntfwana ufile ngemaniga isi eveni confusingi herselfi
111,-1,banele mnetfuawusimeleli simajita
112,0,moviesi andi cerealsi andi recentlysingisi seta ngemkhumbi
113,0,kucale nje nakatsi viriali
114,0,yati besifuna lendzaba ye epici gigi
115,1,siyatichenya ngemakhosi etfu
116,0,ehlane lasiya khona
117,1,bnanlubi labahle
118,1,ungacabangi lisiko lenu lesive semaswati nine noma ningangabikhona emaswati angachubeka
119,1,mpembe likhulu ichawe lakitsi love mfethu
120,-1,dance singeri impela konakele
121,1,muhli ujesu
122,0,yahi yakhiwe leividiyo nehi
123,1,kuyabonakala kutsii maswati kuhle nani nisenjabulweni yekuba sebukhoneni basimakadze
124,1,wowi siyabonga siphethe amanidhla haleluyai godi blessi sisi
125,1,ngyanivuma bo mshengu
126,1,ya mfethu ngiyole
127,0,yahi ngya kuva quotchiefquoti siku lalele fromi sata frika
128,0,jealousi downi mfanakithiandi theni batsi kute locali contenti
129,0,ngiyo
130,1,ngyavuma maswati
131,1,awe eswatini kagogo welldone
132,1,kwamiele mtfwana makekuhleasinqonqotseni bekunene
133,1,ayibo uyahlabelela losisi
134,1,hmmi ngaze ngabusiseka
135,1,waze wawuvuselela umoya wamii
