label,Comments
-1,Niyayi shaya
-1,Johane hhayi suka man
1,Maswati lamahle Kutsi ngigiye .
1,Yinhle lentfo...
0,yanivuma bakitsi
1,Nayishaya bantfwana kwatsi chosololo!
1,Halala Langeni
0,Nkhosi Jesu uyaphila 
1,Siyabonga Moya loyigcwele
0,AwuNkosiyami
1,Niyangibusisa bazalwebami
0,Ngilungisise Jehova
0,Eyi moyongcwele lungisa kuhamba kwam
0,Kuyahlaleka endumiswen yakhe
1,Awu nkosi yami. Iyangibusisa lena ngoma.
1,Ngempela uphakame nkulunkulu bakhe abulinganiswa
0,Yebo Nkosi...
1,Kadze solo ngiyfuna ngiyibonga Nkhosi Jesu
1,Ninjan bazalwane ngiyayitsandza ngabe ningangisita kutsi emacilongwe intfolakala kuphi
0,Singasuka kuwe siyephi Simakadze
1,Lengoma iyasibusisa siyabonga
-1,Eyiiii eyiii Jesus uyesabeka
-1,Iyangbusisa lengoma mzee noko iletsa bad memories....ngaydlala ngyofihla umhlobo wami Pastor T. Hlophe kaNdinda so yaaaa may his soul rest in peace.
1,"What a song Make Mthethwa,,,,,siyabonga Nkhosi Jesu kubanatsi nekusivekela kuko konkhe lokubi...Amen!"
0,"Kholwa ngilo. Lilalele ulugcine. Likhulume. Cabanga ngalo impumelelo yakho ilapho... Ngulelo liciniso lemphilo. Umasiligcina lona, siyantjintjwa"
-1,"Nembala, liyinkemba..! Amen sibusiseke kakhulu"
0,Bambelela Dzadzewetfu ngyati akusiko melula
1,Uyahlabela sisi
0,Safa bunandzi
1,Awu kodwa Nkosi... Yabonga mine
1,Kumnandzi khabo Jesu
1,Kunjalo ......mhlanti wendlukhulu chubeka cc usibusise
1,"nkulunkulu loyingcele, nikela konke kuye aphose le elwandle"
1,Wow phambili sisi uyasho  akubusise jehova haleluya uyincwele
1,Ah kunjalo bazalwane bam ... May God bless u
0,Kwasa maSwati lamahle... emasiko betfu
1,Eyi!!Bazalwane nisibisiso. Hallelujah!
1,Umusa wakhe usanele sonkhe
0,Baze Bonke Basindiswe. Amen
0,Nginengoma yami
0,"wow ngiyatsandza kudvumisa kungiletsa dvute namvelinchant, awu Come to Jesus nikuphi? Buyelani ekucaleni elutsandvweni lwenu lwaKristu lwakucala lenanimtsandza ngalo ,remember kunetitukulwane ekhalo lweni lekumele nitibeleke"
0,Unamandla wena Jesu
1,Ngibatsandzani laba thanks
0,Amene nkhosi sisite silalale wena wedwa Amen
1,"Nkhosi ngiphe indlebe yekulalela livi lakho sonkhe sikhatsi, ngize ngibe nekucondza. Nice songs bazalwane please add more."
1,Kunjalo ingati ya Jesu asoze yaphelelwa ngemandla Amen and Amen
1, Indlovulenkhulu 2024; ngente njalo bangcwele khani ngiyiva lengoma kanjani manje emva kwekucinisela minyaka lelishumi sikanye nemyeni wami ahleti ekhaya adzinga umsebenti.  YOOO WAVELA LOMDZALA WETINSUKU MAY 2022<br># CHUBEKANI CINISANI BAZALWANE  sitohlala sincoba
0,Baphi labazalwane nkhosiyami
1,simaswati solo siyaphambili saphiwa umculo ningakhohlwa maswati akitsi phambili nge come to jesus phambili
1,nga somandla siyancoba kunjalo bazalwane nakuba besingabukeka engathi kodwa siyakhona
1,"NgaSomadla siyancoba, Khristu usihola njalo eludvwendvweni lwekuncoba! Bless you!"
1,siyabonga babe  umsebenti lowawenta  eCalvary wentela mine.... Angikhoni kuhlala ngingawubongi lomsebenti lobaluleke Kangaka tagezwa Netami tono 
1,Ivuselela umoya syabonga kakhulu umculo lomnandzi ngiwlalela ngiphansi eMbombela
-1,Wayishaya ntwana. 
1,"Muhle umculo, ihlobile ivideo mntfwanamake "
0,Sewakho vele <br> Lutsandvo aluboni
1,Yooooh ngiyabona mfe2 for kumwisa iwile lentfo liciniso lihle kutsi vele uyadvumisa manje njayam 
1,Leluhleko
-1,Nami ngiyi Lluminatihhay man  lensangu asiyiyekeni mayisihlula
1,Nam ngiyi LluminatiHhay liso siyalitsandza eSpiki
0,Yenabakits
-1,Ujwayele manyala lomfanaNgabusnikile samluma kucala
0,King Kanga sicela part II lena ngiyeva lokutsi ayikapheleli mani sicela ungesabi ukhulume everything mani 
-1,&quot; Sulumane lektjeka uva lensangu lapho espiki&quot; <br><br>Insangu always catching strays
-1,Suka la wena mafikizolo 
