ID,label,Comments
0,1,niyayishaya
1,-1, hhayi suka mani wena
2,1,maswati lamahle kutsi angigiye
3,1,yinhle lentfo
4,1,ngiyanivuma bakitsi
5,1,nayishaya bantfwana kwatsi chosololo
6,1,halala langeni
7,0,nkhosi jesu uyaphila
8,1,siyabonga moya loyigcwele
9,0,awu nkosiyami
10,1,niyangibusisa bazalwane bami
11,0,ngilungisise jehova
12,1,eyi moyongcwele lungisa kuhamba kwami
13,0,kuyahlaleka endvumisweni yakhe
14,1,awu nkosiyami iyangibusisa lena ngoma
15,1,ngempela uphakame nkulunkulu bukhulu bakhe abulinganiswa
16,0,yebo nkhosi
17,1,kadze kanjena nalo ngiyfuna ngiyibonga nkhosi jesu
18,1,ninjani bazalwane ngiyayitsandza lengoma ngabe ningangisita kutsi emacilongwe intfolakala kuphi
19,0,singasuka kuwe siyephi simakadze
20,1,lengoma iyasibusisa siyabonga
21,1,eyi eyi jesu uyesabeka
22,0,iyangibusisa lengoma mze noko iletsa tintfo letimbi takadzeni 
23,1,yate yabamnandzi ingoma make mthethwa siyabonga jesu kubanatsi nekusivekela 
24,0,kholwa ngilo lilalele ulugcine likhulume cabanga ngalo imphumelelo yakho ilapho 
25,1,nembala liyinikemba ameni sibusiseke kakhulu
26,0,bambelela dzadzewetfu ngiyati akusiko melula
27,1,uyahlabela sisi
28,1,safa bunandzi
29,1,awu nkhosi ngiyabonga mine
30,1,kumnandzi khabo jesu
31,1,kunjalo mhlanti wendlunkhulu chubeka sisi usibusise
32,0,nkulunkulu loyingcwele nikela konke kuye aphose le elwandle
33,1,kuhle phambili sisi uyasho akubusise jehova haleluya uyingcwele
34,1, kunjalo bazalwane bami nkulunkulu anibusise
35,0,kwasa maswati lamahle emasiko etfu
36,1,eyi bazalwane nisibusisa kanjena haleluya
37,1,umusa wakhe usanele kanjena sonkhe
38,0,baze bonke basindiswe ameni
39,0,nginengoma yami
40,0,ngiyatsandza kudvumisa kungiletsa dvute namvelinchanti 
41,0,unamandla jesu
42,1,ngibatsandza impela laba
43,0,ameni nkhosi sisite sikulalele wedvwa ameni
44,1,cela ningete lentinye letinyenti timunandzi
45,1,kunjalo ingati yajesu asoze yaphelelwa ngemandla ameni futsi ameni
46,1, maye bo chubekani khani ngiyiva lengoma
47,0,baphi labazalwane nkhosiyami
48,1,simaswati kanjalo siyaphambili saphiwa umculo ningakhohlwa maswati akitsi phambili nge wota ku jesu phambili
49,0,ngalamandla siyancoba kunjalo bazalwane nakuba besingabukeka engathi siyakhona
50,1,ngalamandla siyancoba khristu usihola njalo eludvwendvweni lwekuncoba sibusiso
51,1,siyabonga babe umsebenti lowawenta ekhalivari wentela mine 
52,1,ivuselela umoya siyabonga kakhulu umculo lomnandzi ngiwlalela ngiphansi embombela
53,1,wayishaya mntfwana
54,1,muhle umculo sihlobile sitfombe mntfwanamake
55,0,sewakho vele lutsandvo aluboni
58,-1,hhayi mani lensangu asiyiyekeni mayisihlula
60,0,yenabakitsi
62,-1, sicela lenye lena ngiyeva lokutsi ayikapheleli mani sicela ungesabi ukhulume yonkhintfo mani
63,-1,sulumane lekutjeka uva lensangu lapho espiki insangu hlezi ikucabangisa kakhulu
64,-1,suka la mafikizolo
66,1,hhayi uyayishaya mfana
67,1,yebhuti uyabona lengoma ingumlilo
68,1,siyabonga bhuti kuphuma ngemalengiso usimelele
69,1,mangilalela tonkhe letingoma ngivele ngijabule  ngalena wasekhaya sesicela tintfombe tekubukwelwa te imbita
70,1,ungahlomeliswa kuwo wonkhe  laAfrica
71,1,ngiyanivuma bafowethu
72,1,muhle umsebenti bhuti sebenta kanjena uze uphume umphemfumulo ngiyabonga umculo mnaketfu
73,0,natsi siphuma tindzawo tonkhe tindzawo takhona Eswatini matfupha
74,1,usezingeni lomtfwebulo
75,1,sebenta ndvodza muhle kakhulu umsebenti wakho liswati lelingimi litsi liyabonga
76,1,gogo buka mbamba ngabe umuntfu ucamba emanga makangatsi lona mculo awukho mnandzi siyabonga busta
77,1,ngyaniva lapho bahlabeleli
78,1,kuhle
79,1,hhayi bafana balomyama ngiyo lentfo ngiyo ngiyo ngitokuta emahhovisini enu bhuti kuyaphekwa lapha hhayi kudlala
80,1,"licatsa lenyama ngilicoba lingisha, ngiyalitsandza"
81,1,hhayi ngeke niyaloya nani niyayishaya lentfo
82,1,takitsi tivutsa umlilo
